,popYr,year,pop,dataset,ct_other,ct_bumble_lg_bee,ct_butterfly_all,ct_hawkmoth,ct_small_med_bee,ct_hummingbird,pr_other,pr_bumble_lg_bee,pr_butterfly_all,pr_hawkmoth,pr_small_med_bee,pr_hummingbird,rt_other,rt_bumble_lg_bee,rt_butterfly_all,rt_hawkmoth,rt_small_med_bee,rt_hummingbird,taxa,sp,reg1,reg2,corL,corW,stigma,lipL,brLbW,red,green,blue,latN,lonW,visTotal,avgNMDS1,avgNMDS2,hex,pch_ind,nmds1,nmds2
35,SMP-2019,2019,SMP,focal_narrow,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.002994012,0,0,S,S,sS,sS,30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,1,-0.283041378,-0.11393331,#ebd739,21,0.064111804,-0.236224549
36,SNRM-2018,2018,SNRM,focal_narrow,1,0,0,0,23,0,0.041666667,0,0,0,0.958333333,0,0.04,0,0,0,0.92,0,S,S,nS,nS,49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.89933,-89.34156,24,NA,NA,#d5d292,21,0.431655023,-0.001391651
37,SNRM-2019,2019,SNRM,focal_narrow,1,62,0,0,165,0,0.004385965,0.271929825,0,0,0.723684211,0,0.007936508,0.492063492,0,0,1.30952381,0,S,S,nS,nS,49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.89933,-89.34156,228,NA,NA,#d5d292,21,0.431655028,-0.001391652
38,SPB-2017,2017,SPB,focal_narrow,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0.213675214,0,S,S,nS,wS,47.75283333,3.04855,1.360966667,5.89625,1.398266667,237.1,141.1,130.8333333,40.8050587,-104.0132563,25,0.142844481,-0.028696793,#ed8d83,21,0.424357804,0.133201614
39,SRS-2017,2017,SRS,focal_narrow,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0.514285714,0,S,S,nS,nS,49.29858333,3.122416667,1.5199,6.20235,1.617783333,222.8333333,174.2333333,139.4666667,45.57049,-106.14788,36,0.13761066,-0.164512661,#dfae8b,21,0.425029045,0.058917927
40,SSC-2017,2017,SSC,focal_narrow,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0.345679012,0,S,S,nS,nS,44.6491,3.3173,1.585066667,6.099666667,1.26815,179,198.2333333,113.5,44.55531,-92.59423,28,0.055663804,-0.289221446,#b3c672,21,0.503261473,-0.016796505
41,SSC-2018,2018,SSC,focal_narrow,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0.96,0,S,S,nS,nS,44.6491,3.3173,1.585066667,6.099666667,1.26815,179,198.2333333,113.5,44.55531,-92.59423,24,0.055663804,-0.289221446,#b3c672,21,0.503261473,-0.016796505
42,SYH-2018,2018,SYH,focal_narrow,0,0,0,9,46,0,0,0,0,0.163636364,0.836363636,0,0,0,0,0.428571429,2.19047619,0,S,S,sS,sS,36.21312069,2.549241379,0.904724138,4.585275862,1.722672414,241.1724138,128.5517241,120.0689655,32.03469,-104.4479,55,0.121041915,0.015164421,#f18178,21,0.351123061,0.246286753
43,SYH-2019,2019,SYH,focal_narrow,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.011627907,0,S,S,sS,sS,36.21312069,2.549241379,0.904724138,4.585275862,1.722672414,241.1724138,128.5517241,120.0689655,32.03469,-104.4479,1,0.121041915,0.015164421,#f18178,21,0.351123061,0.246286753
44,CHCL-2019-nf,2019,CHCL,nonfocal_wide,1,163,51,13,0,34,0.003816794,0.622137405,0.194656489,0.049618321,0,0.129770992,0.00063385,0.103317572,0.032326357,0.008240052,0,0.021550905,PC,C,C,C,30.88828333,3.28105,2.190133333,4.940383333,5.047766667,242.4333333,223.4,45,31.82479,-99.55632,262,-0.353618939,-0.090950461,#f2df2d,23,-0.19885459,-0.208770208
