plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
LVH08,LVH,2019,LVH-2019,PC,L,L,12,11,30.2759,-97.8971
LVH09,LVH,2019,LVH-2019,PC,L,L,24,23,30.2759,-97.8971
LVH10,LVH,2019,LVH-2019,PC,L,L,9,9,30.2759,-97.8971
LVH11,LVH,2019,LVH-2019,PC,L,L,34,24,30.2759,-97.8971
LVH12,LVH,2019,LVH-2019,PC,L,L,17,12,30.2759,-97.8971
LVH13,LVH,2019,LVH-2019,PC,L,L,16,16,30.2759,-97.8971
LVH14,LVH,2019,LVH-2019,PC,L,L,19,14,30.2759,-97.8971
LVH15,LVH,2019,LVH-2019,PC,L,L,16,16,30.2759,-97.8971
LVH16,LVH,2019,LVH-2019,PC,L,L,22,16,30.2759,-97.8971
LVH17,LVH,2019,LVH-2019,PC,L,L,16,15,30.2759,-97.8971
LVH18,LVH,2019,LVH-2019,PC,L,L,21,21,30.2759,-97.8971
LVH19,LVH,2019,LVH-2019,PC,L,L,21,16,30.2759,-97.8971
LVH20,LVH,2019,LVH-2019,PC,L,L,19,19,30.2759,-97.8971
LVH21,LVH,2019,LVH-2019,PC,L,L,19,18,30.2759,-97.8971
LVH22,LVH,2019,LVH-2019,PC,L,L,16,13,30.2759,-97.8971
LVH23,LVH,2019,LVH-2019,PC,L,L,21,12,30.2759,-97.8971
LVH24,LVH,2019,LVH-2019,PC,L,L,19,14,30.2759,-97.8971
LVH25,LVH,2019,LVH-2019,PC,L,L,22,16,30.2759,-97.8971
LVH26,LVH,2019,LVH-2019,PC,L,L,24,22,30.2759,-97.8971
LVH27,LVH,2019,LVH-2019,PC,L,L,25,21,30.2759,-97.8971
LVH28,LVH,2019,LVH-2019,PC,L,L,29,28,30.2759,-97.8971
LVH29,LVH,2019,LVH-2019,PC,L,L,15,9,30.2759,-97.8971
LVH30,LVH,2019,LVH-2019,PC,L,L,20,19,30.2759,-97.8971
PCM01,PCM,2019,PCM-2019,PC,P,P,17,16,33.31087,-96.24411
PCM02,PCM,2019,PCM-2019,PC,P,P,21,14,33.31087,-96.24411
PCM03,PCM,2019,PCM-2019,PC,P,P,17,8,33.31087,-96.24411
PCM04,PCM,2019,PCM-2019,PC,P,P,13,1,33.31087,-96.24411
PCM05,PCM,2019,PCM-2019,PC,P,P,19,13,33.31087,-96.24411
