"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal"
"23","SCL-2018","2018","SCL","focal_narrow",0,0,0,66,50,0,0,0,0,0.568965517241379,0.431034482758621,0,0,0,0,0.492537313432836,0.373134328358209,0,"S","S","sS","wS",44.1934,2.90535,1.59791666666667,5.58215,1.48671666666667,233,150.833333333333,130.066666666667,33.5655,-101.80032,116
"24","SCL-2019","2019","SCL","focal_narrow",0,0,0,46,2,0,0,0,0,0.958333333333333,0.0416666666666667,0,0,0,0,0.63013698630137,0.0273972602739726,0,"S","S","sS","wS",44.1934,2.90535,1.59791666666667,5.58215,1.48671666666667,233,150.833333333333,130.066666666667,33.5655,-101.80032,48
"25","SDCR-2017","2017","SDCR","focal_narrow",0,0,0,106,78,0,0,0,0,0.576086956521739,0.423913043478261,0,0,0,0,1.76666666666667,1.3,0,"S","S","sS","wS",46.1915357142857,3.04964285714286,1.24619642857143,5.86914285714286,1.44355357142857,232.928571428571,140.785714285714,129.357142857143,37.75643,-103.59391,184
"26","SFP-2018","2018","SFP","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S","S","nS","nS",41.25715,2.83963333333333,1.52146666666667,5.38201666666667,2.59833333333333,141.9,162.466666666667,62.3666666666667,47.05173,-96.427291,0
"27","SFP-2019","2019","SFP","focal_narrow",3,16,0,0,35,0,0.0555555555555556,0.296296296296296,0,0,0.648148148148148,0,0.0394736842105263,0.210526315789474,0,0,0.460526315789474,0,"S","S","nS","nS",41.25715,2.83963333333333,1.52146666666667,5.38201666666667,2.59833333333333,141.9,162.466666666667,62.3666666666667,47.05173,-96.427291,54
"28","SIC-2017","2017","SIC","focal_narrow",54,0,100,53,85,0,0.184931506849315,0,0.342465753424658,0.181506849315068,0.291095890410959,0,0.710526315789474,0,1.31578947368421,0.697368421052632,1.11842105263158,0,"S","S","sS","sS",29.9219333333333,2.51648333333333,1.54746666666667,4.56895,2.4925,225.133333333333,105.3,153.7,30.486035,-101.7882521,292
"29","SIC-2018","2018","SIC","focal_narrow",1,0,0,0,12,0,0.0769230769230769,0,0,0,0.923076923076923,0,0.0476190476190476,0,0,0,0.571428571428571,0,"S","S","sS","sS",29.9219333333333,2.51648333333333,1.54746666666667,4.56895,2.4925,225.133333333333,105.3,153.7,30.486035,-101.7882521,13
"30","SIC-2019","2019","SIC","focal_narrow",6,0,2,53,20,0,0.0740740740740741,0,0.0246913580246914,0.654320987654321,0.246913580246914,0,0.0631578947368421,0,0.0210526315789474,0.557894736842105,0.210526315789474,0,"S","S","sS","sS",29.9219333333333,2.51648333333333,1.54746666666667,4.56895,2.4925,225.133333333333,105.3,153.7,30.486035,-101.7882521,81
"31","SILB-2017","2017","SILB","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S","S","nS","nS",51.9256,3.00816666666667,1.80396666666667,6.93576666666667,1.34063333333333,188.6,199.033333333333,107.8,42.44124,-87.80295,0
"32","SILB-2018","2018","SILB","focal_narrow",0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0.0574712643678161,0,"S","S","nS","nS",51.9256,3.00816666666667,1.80396666666667,6.93576666666667,1.34063333333333,188.6,199.033333333333,107.8,42.44124,-87.80295,10
"33","SMP-2017","2017","SMP","focal_narrow",0,5,0,70,32,0,0,0.0467289719626168,0,0.654205607476635,0.299065420560748,0,0,0.0476190476190476,0,0.666666666666667,0.304761904761905,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.90106666666667,2.604,234.7,215.433333333333,57.3333333333333,32.2852116,-100.7884505,107
"34","SMP-2018","2018","SMP","focal_narrow",0,17,0,6,10,0,0,0.515151515151515,0,0.181818181818182,0.303030303030303,0,0,0.153153153153153,0,0.0540540540540541,0.0900900900900901,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.90106666666667,2.604,234.7,215.433333333333,57.3333333333333,32.2852116,-100.7884505,33
"35","SMP-2019","2019","SMP","focal_narrow",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0029940119760479,0,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.90106666666667,2.604,234.7,215.433333333333,57.3333333333333,32.2852116,-100.7884505,1
"36","SNRM-2018","2018","SNRM","focal_narrow",1,0,0,0,23,0,0.0416666666666667,0,0,0,0.958333333333333,0,0.04,0,0,0,0.92,0,"S","S","nS","nS",49.6809333333333,3.14971666666667,1.75996666666667,6.48706666666667,1.88233333333333,213,209.5,146.433333333333,41.89933,-89.34156,24
